id	text1	text2
1	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
2	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
3	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
4	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
5	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
6	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
7	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
8	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
9	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
10	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
11	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
12	Listen to the following spoken word.	Then, choose from the three choices which was the word you heard.
